English Name,Nepali Name,Unit,Minimum Price,Maximum Price,Average Price,Language
Tomato Big(Indian),,Kg,Rs. 50,Rs. 60, 55.00,kalimatiE
Tomato Small(Local),,Kg,Rs. 10,Rs. 15, 12.50,kalimatiE
Tomato Small(Tunnel),,Kg,Rs. 15,Rs. 20, 17.50,kalimatiE
Potato Red,,Kg,Rs. 56,Rs. 58, 57.00,kalimatiE
Potato Red(Indian),,KG,Rs. 26,Rs. 28, 27.00,kalimatiE
Potato Red(Mude),,Kg,Rs. 48,Rs. 50, 49.00,kalimatiE
Potato White,,Kg,Rs. 41,Rs. 42, 41.50,kalimatiE
Onion Dry (Indian),,Kg,Rs. 42,Rs. 45, 43.50,kalimatiE
Carrot(Local),,Kg,Rs. 140,Rs. 160, 150.00,kalimatiE
Carrot(Terai),,Kg,Rs. 130,Rs. 140, 135.00,kalimatiE
Cabbage(Local),,Kg,Rs. 35,Rs. 45, 40.00,kalimatiE
Cauli Local,,Kg,Rs. 90,Rs. 100, 95.00,kalimatiE
Raddish Red,,Kg,Rs. 40,Rs. 50, 45.00,kalimatiE
Raddish White(Local),,Kg,Rs. 20,Rs. 25, 22.50,kalimatiE
Raddish White(Hybrid),,Kg,Rs. 25,Rs. 30, 27.50,kalimatiE
Brinjal Long,,Kg,Rs. 30,Rs. 40, 35.00,kalimatiE
Brinjal Round,,Kg,Rs. 60,Rs. 70, 65.00,kalimatiE
Cow pea(Long),,Kg,Rs. 80,Rs. 100, 90.00,kalimatiE
Cowpea(Short),,Kg,Rs. 100,Rs. 110, 105.00,kalimatiE
French Bean(Local),,Kg,Rs. 90,Rs. 100, 95.00,kalimatiE
French Bean(Hybrid),,Kg,Rs. 90,Rs. 100, 95.00,kalimatiE
Sword Bean,,Kg,Rs. 180,Rs. 200, 190.00,kalimatiE
Soyabean Green,,Kg,Rs. 80,Rs. 90, 85.00,kalimatiE
Bitter Gourd,,Kg,Rs. 60,Rs. 70, 65.00,kalimatiE
Bottle Gourd,,Kg,Rs. 40,Rs. 50, 45.00,kalimatiE
Pointed Gourd(Local),,Kg,Rs. 70,Rs. 80, 75.00,kalimatiE
Pointed Gourd(Terai),,Kg,Rs. 70,Rs. 80, 75.00,kalimatiE
Snake Gourd,,Kg,Rs. 30,Rs. 40, 35.00,kalimatiE
Smooth Gourd,,Kg,Rs. 50,Rs. 60, 55.00,kalimatiE
Sponge Gourd,,Kg,Rs. 60,Rs. 70, 65.00,kalimatiE
Pumpkin,,Kg,Rs. 35,Rs. 40, 37.50,kalimatiE
Squash(Round),,Kg,Rs. 40,Rs. 50, 45.00,kalimatiE
Turnip,,Kg,Rs. 80,Rs. 90, 85.00,kalimatiE
Okara,,Kg,Rs. 50,Rs. 60, 55.00,kalimatiE
Arum,,Kg,Rs. 40,Rs. 50, 45.00,kalimatiE
Christophine,,Kg,Rs. 10,Rs. 15, 12.50,kalimatiE
Brd Leaf Mustard,,Kg,Rs. 180,Rs. 200, 190.00,kalimatiE
Spinach Leaf,,Kg,Rs. 250,Rs. 300, 275.00,kalimatiE
Cress Leaf,,Kg,Rs. 280,Rs. 300, 290.00,kalimatiE
Mustard Leaf,,Kg,Rs. 80,Rs. 90, 85.00,kalimatiE
Onion Green,,Kg,Rs. 180,Rs. 200, 190.00,kalimatiE
Mushroom(Kanya),,Kg,Rs. 220,Rs. 250, 235.00,kalimatiE
Mushroom(Button),,KG,Rs. 400,Rs. 450, 425.00,kalimatiE
Asparagus,,Kg,Rs. 700,Rs. 800, 750.00,kalimatiE
Neuro,,Kg,Rs. 80,Rs. 90, 85.00,kalimatiE
Brocauli,,Kg,Rs. 200,Rs. 250, 225.00,kalimatiE
Sugarbeet,,Kg,Rs. 90,Rs. 100, 95.00,kalimatiE
Drumstick,,Kg,Rs. 180,Rs. 200, 190.00,kalimatiE
Red Cabbbage,,Kg,Rs. 350,Rs. 400, 375.00,kalimatiE
Lettuce,,Kg,Rs. 300,Rs. 350, 325.00,kalimatiE
Celery,,Kg,Rs. 400,Rs. 450, 425.00,kalimatiE
Turnip A,,Kg,Rs. 80,Rs. 90, 85.00,kalimatiE
Tamarind,,Kg,Rs. 140,Rs. 150, 145.00,kalimatiE
Bamboo Shoot,,Kg,Rs. 90,Rs. 100, 95.00,kalimatiE
Tofu,,Kg,Rs. 90,Rs. 100, 95.00,kalimatiE
Gundruk,,Kg,Rs. 150,Rs. 200, 175.00,kalimatiE
Apple(Jholey),,Kg,Rs. 190,Rs. 200, 195.00,kalimatiE
Apple(Fuji),,KG,Rs. 190,Rs. 200, 195.00,kalimatiE
Banana,,Doz,Rs. 100,Rs. 110, 105.00,kalimatiE
Lime,,Kg,Rs. 150,Rs. 160, 155.00,kalimatiE
Pomegranate,,Kg,Rs. 300,Rs. 350, 325.00,kalimatiE
Orange(Indian),,Kg,Rs. 120,Rs. 130, 125.00,kalimatiE
Water Melon(Green),,Kg,Rs. 40,Rs. 50, 45.00,kalimatiE
Sweet Orange,,Kg,Rs. 120,Rs. 130, 125.00,kalimatiE
Pineapple,,1 Pc,Rs. 150,Rs. 160, 155.00,kalimatiE
Cucumber(Local),,Kg,Rs. 50,Rs. 70, 60.00,kalimatiE
Cucumber(Hybrid),,KG,Rs. 20,Rs. 30, 25.00,kalimatiE
Lemon,,Kg,Rs. 50,Rs. 60, 55.00,kalimatiE
Pear(Local),,Kg,Rs. 50,Rs. 60, 55.00,kalimatiE
Pear(Chinese),,Kg,Rs. 190,Rs. 200, 195.00,kalimatiE
Papaya(Indian),,Kg,Rs. 70,Rs. 80, 75.00,kalimatiE
Guava,,Kg,Rs. 100,Rs. 120, 110.00,kalimatiE
Mombin,,Kg,Rs. 50,Rs. 60, 55.00,kalimatiE
Kiwi,,Kg,Rs. 500,Rs. 600, 550.00,kalimatiE
Ginger,,Kg,Rs. 80,Rs. 90, 85.00,kalimatiE
Chilli Dry,,Kg,Rs. 300,Rs. 320, 310.00,kalimatiE
Chilli Green,,Kg,Rs. 80,Rs. 90, 85.00,kalimatiE
Chilli Green(Bullet),,KG,Rs. 110,Rs. 120, 115.00,kalimatiE
Chilli Green(Machhe),,KG,Rs. 50,Rs. 60, 55.00,kalimatiE
Chilli Green(Akbare),,KG,Rs. 150,Rs. 200, 175.00,kalimatiE
Capsicum,,Kg,Rs. 100,Rs. 120, 110.00,kalimatiE
Garlic Green,,Kg,Rs. 350,Rs. 400, 375.00,kalimatiE
Coriander Green,,Kg,Rs. 400,Rs. 500, 450.00,kalimatiE
Garlic Dry Chinese,,Kg,Rs. 190,Rs. 210, 200.00,kalimatiE
Garlic Dry Nepali,,Kg,Rs. 160,Rs. 170, 165.00,kalimatiE
Clive Dry,,Kg,Rs. 280,Rs. 300, 290.00,kalimatiE
Clive Green,,Kg,Rs. 320,Rs. 350, 335.00,kalimatiE
Fish Fresh(Rahu),,KG,Rs. 270,Rs. 280, 275.00,kalimatiE
Fish Fresh(Bachuwa),,KG,Rs. 225,Rs. 235, 230.00,kalimatiE
Fish Fresh(Chhadi),,KG,Rs. 220,Rs. 230, 225.00,kalimatiE
Fish Fresh(Mungari),,KG,Rs. 250,Rs. 260, 255.00,kalimatiE
,ठूलो गोलभेडा(भारतीय),केजी,रू. ५०,रू. ६०, ५५.००,kalimatiN
,गोलभेडा सानो(लोकल),के.जी.,रू. १०,रू. १५, १२.५०,kalimatiN
,गोलभेडा सानो(टनेल),के जी,रू. १५,रू. २०, १७.५०,kalimatiN
,आलु रातो,के.जी.,रू. ५६,रू. ५८, ५७.००,kalimatiN
,आलु रातो(भारतीय),के जी,रू. २६,रू. २८, २७.००,kalimatiN
,आलु रातो(मुडे),केजी,रू. ४८,रू. ५०, ४९.००,kalimatiN
,आलु सेतो,के.जी.,रू. ४१,रू. ४२, ४१.५०,kalimatiN
,प्याज सुकेको (भारतीय),के.जी.,रू. ४२,रू. ४५, ४३.५०,kalimatiN
,गाजर(लोकल),के.जी.,रू. १४०,रू. १६०, १५०.००,kalimatiN
,गाजर(तराई),केजी,रू. १३०,रू. १४०, १३५.००,kalimatiN
,बन्दा(लोकल),के.जी.,रू. ३५,रू. ४५, ४०.००,kalimatiN
,काउली स्थानिय,के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,मूला रातो,के.जी.,रू. ४०,रू. ५०, ४५.००,kalimatiN
,मूला सेतो(लोकल),के.जी.,रू. २०,रू. २५, २२.५०,kalimatiN
,सेतो मूला(हाइब्रीड),केजी,रू. २५,रू. ३०, २७.५०,kalimatiN
,भन्टा लाम्चो,के.जी.,रू. ३०,रू. ४०, ३५.००,kalimatiN
,भन्टा डल्लो,के.जी.,रू. ६०,रू. ७०, ६५.००,kalimatiN
,बोडी(तने),के.जी.,रू. ८०,रू. १००, ९०.००,kalimatiN
,मकै बोडी,केजी,रू. १००,रू. ११०, १०५.००,kalimatiN
,घिउ सिमी(लोकल),के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,घिउ सिमी(हाइब्रीड),केजी,रू. ९०,रू. १००, ९५.००,kalimatiN
,टाटे सिमी,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,भटमासकोशा,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,तितो करेला,के.जी.,रू. ६०,रू. ७०, ६५.००,kalimatiN
,लौका,के.जी.,रू. ४०,रू. ५०, ४५.००,kalimatiN
,परवर(लोकल),के.जी.,रू. ७०,रू. ८०, ७५.००,kalimatiN
,परवर(तराई),केजी,रू. ७०,रू. ८०, ७५.००,kalimatiN
,चिचिण्डो,के.जी.,रू. ३०,रू. ४०, ३५.००,kalimatiN
,घिरौला,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,झिगूनी,के.जी.,रू. ६०,रू. ७०, ६५.००,kalimatiN
,फर्सी पाकेको,के.जी.,रू. ३५,रू. ४०, ३७.५०,kalimatiN
,हरियो फर्सी(डल्लो),केजी,रू. ४०,रू. ५०, ४५.००,kalimatiN
,सलगम,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,भिण्डी,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,पिंडालू,के.जी.,रू. ४०,रू. ५०, ४५.००,kalimatiN
,स्कूस,के.जी.,रू. १०,रू. १५, १२.५०,kalimatiN
,रायो साग,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,पालूगो साग,के.जी.,रू. २५०,रू. ३००, २७५.००,kalimatiN
,चमसूरको साग,के.जी.,रू. २८०,रू. ३००, २९०.००,kalimatiN
,तोरीको साग,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,प्याज हरियो,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,च्याउ(कन्य),के.जी.,रू. २२०,रू. २५०, २३५.००,kalimatiN
,च्याउ(डल्ले),के जी,रू. ४००,रू. ४५०, ४२५.००,kalimatiN
,कुरीलो,के.जी.,रू. ७००,रू. ८००, ७५०.००,kalimatiN
,न्यूरो,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,ब्रोकाउली,के.जी.,रू. २००,रू. २५०, २२५.००,kalimatiN
,चुकुन्दर,के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,सजिवन,के.जी.,रू. १८०,रू. २००, १९०.००,kalimatiN
,रातो बन्दा,के.जी.,रू. ३५०,रू. ४००, ३७५.००,kalimatiN
,जिरीको साग,के.जी.,रू. ३००,रू. ३५०, ३२५.००,kalimatiN
,सेलरी,के.जी.,रू. ४००,रू. ४५०, ४२५.००,kalimatiN
,गान्टे मूला,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,इमली,के.जी.,रू. १४०,रू. १५०, १४५.००,kalimatiN
,तामा,के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,तोफु,के.जी.,रू. ९०,रू. १००, ९५.००,kalimatiN
,गुन्दुक,के.जी.,रू. १५०,रू. २००, १७५.००,kalimatiN
,स्याउ(झोले),के.जी.,रू. १९०,रू. २००, १९५.००,kalimatiN
,स्याउ(फूजी),के जी,रू. १९०,रू. २००, १९५.००,kalimatiN
,केरा,दर्जन,रू. १००,रू. ११०, १०५.००,kalimatiN
,कागती,के.जी.,रू. १५०,रू. १६०, १५५.००,kalimatiN
,अनार,के.जी.,रू. ३००,रू. ३५०, ३२५.००,kalimatiN
,सुन्तला(भारतीय),केजी,रू. १२०,रू. १३०, १२५.००,kalimatiN
,तरबुजा(हरियो),के.जी.,रू. ४०,रू. ५०, ४५.००,kalimatiN
,मौसम,के.जी.,रू. १२०,रू. १३०, १२५.००,kalimatiN
,भुई कटहर,प्रति गोटा,रू. १५०,रू. १६०, १५५.००,kalimatiN
,काक्रो(लोकल),के.जी.,रू. ५०,रू. ७०, ६०.००,kalimatiN
,काक्रो(हाइब्रीड),के जी,रू. २०,रू. ३०, २५.००,kalimatiN
,निबुवा,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,नासपाती(लोकल),के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,नासपाती(चाइनिज),केजी,रू. १९०,रू. २००, १९५.००,kalimatiN
,मेवा(भारतीय),केजी,रू. ७०,रू. ८०, ७५.००,kalimatiN
,अम्बा,के.जी.,रू. १००,रू. १२०, ११०.००,kalimatiN
,लप्सी,के.जी.,रू. ५०,रू. ६०, ५५.००,kalimatiN
,किवि,केजी,रू. ५००,रू. ६००, ५५०.००,kalimatiN
,अदुवा,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,खु्र्सानी सुकेको,के.जी.,रू. ३००,रू. ३२०, ३१०.००,kalimatiN
,खु्र्सानी हरियो,के.जी.,रू. ८०,रू. ९०, ८५.००,kalimatiN
,खुर्सानी हरियो(बुलेट),के जी,रू. ११०,रू. १२०, ११५.००,kalimatiN
,खुर्सानी हरियो(माछे),के जी,रू. ५०,रू. ६०, ५५.००,kalimatiN
,खुर्सानी हरियो(अकबरे),के जी,रू. १५०,रू. २००, १७५.००,kalimatiN
,भेडे खु्र्सानी,के.जी.,रू. १००,रू. १२०, ११०.००,kalimatiN
,लसुन हरियो,के.जी.,रू. ३५०,रू. ४००, ३७५.००,kalimatiN
,हरियो धनिया,के.जी.,रू. ४००,रू. ५००, ४५०.००,kalimatiN
,लसुन सुकेको चाइनिज,के.जी.,रू. १९०,रू. २१०, २००.००,kalimatiN
,लसुन सुकेको नेपाली,के.जी.,रू. १६०,रू. १७०, १६५.००,kalimatiN
,छ्यापी सुकेको,के.जी.,रू. २८०,रू. ३००, २९०.००,kalimatiN
,छ्यापी हरियो,के.जी.,रू. ३२०,रू. ३५०, ३३५.००,kalimatiN
,ताजा माछा(रहु),के जी,रू. २७०,रू. २८०, २७५.००,kalimatiN
,ताजा माछा(बचुवा),के जी,रू. २२५,रू. २३५, २३०.००,kalimatiN
,ताजा माछा(छडी),के जी,रू. २२०,रू. २३०, २२५.००,kalimatiN
,ताजा माछा(मुंगरी),के जी,रू. २५०,रू. २६०, २५५.००,kalimatiN
